                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2444,                  1.878,                 1.2317,                0.76943,                0.72228,                0.80095,                 0.5224,                 1.0865,                 1.1354,                 1.1078,               0.070034,              0.0033295,              0.0033295
                      1,                 1.2074,                 1.3273,                 1.1926,                0.74734,                0.62271,                 0.7088,                0.42722,                 1.1885,                 1.3847,                 1.2267,               0.039771,               0.006399,               0.006399
                      2,                 1.2971,                 1.3885,                  1.249,                 0.7433,                0.53695,                0.63552,                0.40098,                 1.3138,                 1.7886,                 1.3002,              0.0092427,              0.0092045,              0.0092045
                      3,                 1.3469,                 1.4129,                 1.2912,                0.72976,                 0.7206,                0.76763,                0.46957,                 1.2373,                 1.2006,                 1.2238,               0.008812,               0.008812,               0.008812
                      4,                 1.2681,                 1.2805,                 1.2439,                 0.8097,                0.75084,                0.82349,                0.53386,                 1.1482,                 1.0873,                 1.1722,               0.008812,               0.008812,               0.008812
                      5,                  1.214,                 1.1788,                  1.219,                0.82091,                0.76092,                0.84649,                0.57121,                 1.0947,                0.97212,                 1.1517,               0.008416,               0.008416,               0.008416
                      6,                 1.1657,                 1.1096,                 1.1902,                0.83132,                0.77828,                0.85814,                  0.567,                 1.0892,                0.93674,                 1.1476,                0.00802,                0.00802,                0.00802
                      7,                 1.1261,                  1.029,                 1.1668,                0.83959,                0.80683,                0.87613,                  0.604,                 1.0389,                0.86157,                 1.1199,               0.007624,               0.007624,               0.007624
                      8,                 1.0867,                0.96535,                 1.1486,                0.86674,                0.82306,                0.90344,                0.63261,                 1.0018,                0.79473,                 1.1016,               0.007228,               0.007228,               0.007228
                      9,                 1.0635,                0.93128,                 1.1345,                0.88209,                0.82519,                0.90249,                0.63332,                 1.0039,                 0.7846,                   1.09,               0.006832,               0.006832,               0.006832
                     10,                 1.0422,                0.90296,                 1.1187,                0.88441,                0.82684,                0.90679,                0.64858,                0.96785,                0.75888,                 1.0809,               0.006436,               0.006436,               0.006436
                     11,                  1.013,                0.84839,                 1.0998,                 0.8779,                0.84938,                0.91737,                0.66067,                0.95695,                0.73099,                 1.0737,                0.00604,                0.00604,                0.00604
                     12,                0.99527,                0.82783,                 1.0912,                0.88105,                0.85021,                0.92286,                0.66955,                0.95074,                0.69829,                  1.069,               0.005644,               0.005644,               0.005644
                     13,                0.98375,                0.80448,                 1.0878,                0.90457,                0.85444,                0.92759,                0.66734,                0.94344,                0.68678,                 1.0677,               0.005248,               0.005248,               0.005248
                     14,                0.95854,                0.77164,                 1.0721,                0.90231,                0.86366,                0.93004,                0.68056,                0.92329,                0.66594,                 1.0503,               0.004852,               0.004852,               0.004852
                     15,                0.93995,                0.74216,                 1.0623,                0.90482,                0.87289,                0.92777,                0.68142,                0.91606,                0.66467,                 1.0522,               0.004456,               0.004456,               0.004456
                     16,                 0.9316,                0.72723,                 1.0583,                0.91887,                0.87402,                0.93364,                0.69174,                0.91118,                0.63921,                 1.0449,                0.00406,                0.00406,                0.00406
                     17,                0.89973,                 0.6986,                 1.0407,                0.90832,                0.87738,                 0.9356,                 0.6944,                0.89543,                0.63702,                 1.0372,               0.003664,               0.003664,               0.003664
                     18,                0.88299,                 0.6792,                 1.0337,                0.91583,                0.88337,                0.94202,                0.69615,                0.90356,                0.61109,                 1.0409,               0.003268,               0.003268,               0.003268
                     19,                0.87321,                0.66075,                 1.0263,                 0.9283,                0.88522,                0.94723,                0.70892,                0.87993,                0.59718,                 1.0267,               0.002872,               0.002872,               0.002872
                     20,                0.85208,                0.63681,                 1.0185,                0.91801,                0.88914,                0.94534,                0.70585,                0.88901,                0.59223,                  1.032,               0.002476,               0.002476,               0.002476
                     21,                 0.8388,                0.61844,                 1.0096,                0.90851,                0.90034,                0.94673,                0.70765,                0.89122,                0.57912,                 1.0366,                0.00208,                0.00208,                0.00208
                     22,                0.82063,                 0.6014,                 1.0043,                0.92777,                0.88454,                0.94784,                0.71521,                0.88601,                0.57362,                 1.0355,               0.001684,               0.001684,               0.001684
                     23,                0.81331,                0.58144,                0.99751,                0.92608,                0.89083,                0.94975,                0.71606,                0.88892,                0.56537,                 1.0356,               0.001288,               0.001288,               0.001288
                     24,                0.79808,                 0.5694,                0.99213,                0.91654,                0.89754,                0.94751,                0.71891,                0.87543,                0.56347,                 1.0261,               0.000892,               0.000892,               0.000892
